D:\Anaconda3\envs\pytorch-minist\python.exe D:/Projects/pytorch-minist/minist.py
using cuda...

Test set: Average loss: 2.3060, Accuracy: 1028/10000 (10.28%)
Train Epoch: 1 (0%)	Loss: 2.288160
Train Epoch: 1 (1%)	Loss: 2.258962
Train Epoch: 1 (2%)	Loss: 2.133606
Train Epoch: 1 (3%)	Loss: 2.040495
Train Epoch: 1 (4%)	Loss: 1.666416
Train Epoch: 1 (5%)	Loss: 1.545698
Train Epoch: 1 (6%)	Loss: 1.294041
Train Epoch: 1 (7%)	Loss: 0.880460
Train Epoch: 1 (9%)	Loss: 0.850281
Train Epoch: 1 (10%)	Loss: 0.751137
Train Epoch: 1 (11%)	Loss: 0.603588
Train Epoch: 1 (12%)	Loss: 0.633927
Train Epoch: 1 (13%)	Loss: 0.381519
Train Epoch: 1 (14%)	Loss: 0.619683
Train Epoch: 1 (15%)	Loss: 0.481126
Train Epoch: 1 (16%)	Loss: 0.604052
Train Epoch: 1 (17%)	Loss: 0.358358
Train Epoch: 1 (18%)	Loss: 0.452312
Train Epoch: 1 (19%)	Loss: 0.482897
Train Epoch: 1 (20%)	Loss: 0.314130
Train Epoch: 1 (21%)	Loss: 0.207562
Train Epoch: 1 (22%)	Loss: 0.550289
Train Epoch: 1 (23%)	Loss: 0.397761
Train Epoch: 1 (25%)	Loss: 0.276582
Train Epoch: 1 (26%)	Loss: 0.443175
Train Epoch: 1 (27%)	Loss: 0.309479
Train Epoch: 1 (28%)	Loss: 0.456104
Train Epoch: 1 (29%)	Loss: 0.332032
Train Epoch: 1 (30%)	Loss: 0.373663
Train Epoch: 1 (31%)	Loss: 0.345589
Train Epoch: 1 (32%)	Loss: 0.594292
Train Epoch: 1 (33%)	Loss: 0.234329
Train Epoch: 1 (34%)	Loss: 0.240045
Train Epoch: 1 (35%)	Loss: 0.211055
Train Epoch: 1 (36%)	Loss: 0.200327
Train Epoch: 1 (37%)	Loss: 0.365660
Train Epoch: 1 (38%)	Loss: 0.206274
Train Epoch: 1 (39%)	Loss: 0.224549
Train Epoch: 1 (41%)	Loss: 0.232542
Train Epoch: 1 (42%)	Loss: 0.152407
Train Epoch: 1 (43%)	Loss: 0.134779
Train Epoch: 1 (44%)	Loss: 0.398351
Train Epoch: 1 (45%)	Loss: 0.269301
Train Epoch: 1 (46%)	Loss: 0.347153
Train Epoch: 1 (47%)	Loss: 0.280686
Train Epoch: 1 (48%)	Loss: 0.178556
Train Epoch: 1 (49%)	Loss: 0.228780
Train Epoch: 1 (50%)	Loss: 0.160525
Train Epoch: 1 (51%)	Loss: 0.068806
Train Epoch: 1 (52%)	Loss: 0.208753
Train Epoch: 1 (53%)	Loss: 0.271292
Train Epoch: 1 (54%)	Loss: 0.106227
Train Epoch: 1 (55%)	Loss: 0.060604
Train Epoch: 1 (57%)	Loss: 0.106231
Train Epoch: 1 (58%)	Loss: 0.133434
Train Epoch: 1 (59%)	Loss: 0.092465
Train Epoch: 1 (60%)	Loss: 0.247267
Train Epoch: 1 (61%)	Loss: 0.162376
Train Epoch: 1 (62%)	Loss: 0.190196
Train Epoch: 1 (63%)	Loss: 0.154666
Train Epoch: 1 (64%)	Loss: 0.121912
Train Epoch: 1 (65%)	Loss: 0.086712
Train Epoch: 1 (66%)	Loss: 0.074697
Train Epoch: 1 (67%)	Loss: 0.181065
Train Epoch: 1 (68%)	Loss: 0.211032
Train Epoch: 1 (69%)	Loss: 0.155635
Train Epoch: 1 (70%)	Loss: 0.182059
Train Epoch: 1 (71%)	Loss: 0.182390
Train Epoch: 1 (72%)	Loss: 0.145480
Train Epoch: 1 (74%)	Loss: 0.121418
Train Epoch: 1 (75%)	Loss: 0.066837
Train Epoch: 1 (76%)	Loss: 0.241711
Train Epoch: 1 (77%)	Loss: 0.139576
Train Epoch: 1 (78%)	Loss: 0.094267
Train Epoch: 1 (79%)	Loss: 0.125802
Train Epoch: 1 (80%)	Loss: 0.170915
Train Epoch: 1 (81%)	Loss: 0.115639
Train Epoch: 1 (82%)	Loss: 0.102696
Train Epoch: 1 (83%)	Loss: 0.056416
Train Epoch: 1 (84%)	Loss: 0.283407
Train Epoch: 1 (85%)	Loss: 0.085433
Train Epoch: 1 (86%)	Loss: 0.054513
Train Epoch: 1 (87%)	Loss: 0.053498
Train Epoch: 1 (88%)	Loss: 0.256848
Train Epoch: 1 (90%)	Loss: 0.174063
Train Epoch: 1 (91%)	Loss: 0.242086
Train Epoch: 1 (92%)	Loss: 0.046469
Train Epoch: 1 (93%)	Loss: 0.248482
Train Epoch: 1 (94%)	Loss: 0.170637
Train Epoch: 1 (95%)	Loss: 0.148915
Train Epoch: 1 (96%)	Loss: 0.120480
Train Epoch: 1 (97%)	Loss: 0.109356
Train Epoch: 1 (98%)	Loss: 0.063638
Train Epoch: 1 (99%)	Loss: 0.034732

Test set: Average loss: 0.0902, Accuracy: 9721/10000 (97.21%)
Max accuracy: 97.21%

Train Epoch: 2 (0%)	Loss: 0.021295
Train Epoch: 2 (1%)	Loss: 0.060247
Train Epoch: 2 (2%)	Loss: 0.153346
Train Epoch: 2 (3%)	Loss: 0.196078
Train Epoch: 2 (4%)	Loss: 0.101327
Train Epoch: 2 (5%)	Loss: 0.094779
Train Epoch: 2 (6%)	Loss: 0.039837
Train Epoch: 2 (7%)	Loss: 0.152748
Train Epoch: 2 (9%)	Loss: 0.201121
Train Epoch: 2 (10%)	Loss: 0.127356
Train Epoch: 2 (11%)	Loss: 0.053231
Train Epoch: 2 (12%)	Loss: 0.123703
Train Epoch: 2 (13%)	Loss: 0.076133
Train Epoch: 2 (14%)	Loss: 0.092486
Train Epoch: 2 (15%)	Loss: 0.038693
Train Epoch: 2 (16%)	Loss: 0.148226
Train Epoch: 2 (17%)	Loss: 0.048429
Train Epoch: 2 (18%)	Loss: 0.179900
Train Epoch: 2 (19%)	Loss: 0.053411
Train Epoch: 2 (20%)	Loss: 0.083914
Train Epoch: 2 (21%)	Loss: 0.118546
Train Epoch: 2 (22%)	Loss: 0.083111
